environment,test_type,table_size,queries_read,queries_write,queries_other,queries_total,transactions,latency_min_values,latency_avg_values,latency_max_values,latency_95_percent_values,latency_sum_values
kubernetes,read_write,100,242354,61169,38477,342000,15681,11.77,246.78,8453.23,1129.24,3869790.71
kubernetes,read_write,1000,168434,46427,24429,239290,11580,12.00,338.09,37157.94,877.61,3915104.50
kubernetes,read_write,10000,440272,125408,63075,628755,31347,25.48,122.66,1367.40,164.45,3844905.24
kubernetes,read_write,100000,411768,117601,58853,588222,29403,26.71,130.79,1163.79,196.89,3845707.82
kubernetes,read_write,1000000,536018,57215,172505,765738,38286,17.08,100.44,830.91,170.48,3845274.58
kubernetes,read_only,100,796442,0,0,796442,796442,0.39,4.82,782.58,9.91,3839661.17
kubernetes,read_only,1000,820889,0,0,820889,820889,0.39,4.68,826.06,9.91,3839757.23
kubernetes,read_only,10000,831357,0,0,831357,831357,0.40,4.62,659.97,9.73,3839804.35
kubernetes,read_only,100000,801544,0,0,801544,801544,0.39,4.79,760.73,9.91,3839775.23
kubernetes,read_only,1000000,864379,0,0,864379,864379,0.43,4.44,638.14,9.06,3839573.99
native,read_write,100,214942,54783,33769,303494,14003,7.18,279.10,24230.12,1170.65,3908201.45
native,read_write,1000,118650,32687,17197,168534,8158,7.79,496.99,29625.07,1032.01,4054439.04
native,read_write,10000,499940,142322,71648,713910,35565,10.01,108.12,1204.88,153.02,3845431.11
native,read_write,100000,477806,136442,68292,682540,34109,9.54,112.80,1045.42,179.94,3847533.61
native,read_write,1000000,588210,63589,188501,840300,42015,7.42,91.49,783.11,130.13,3844019.26
native,read_only,100,968220,0,0,968220,968220,0.23,3.97,1062.45,5.37,3839569.19
native,read_only,1000,938979,0,0,938979,938979,0.21,4.09,844.55,5.67,3839515.17
native,read_only,10000,973086,0,0,973086,973086,0.22,3.95,966.27,5.57,3839781.63
native,read_only,100000,867998,0,0,867998,867998,0.23,4.42,942.40,6.67,3840006.74
native,read_only,1000000,955171,0,0,955171,955171,0.22,4.02,956.36,5.99,3839368.03
swarm,read_write,100,200032,51052,31202,282286,13007,11.87,311.49,14478.96,1453.01,4051501.27
swarm,read_write,1000,164136,45157,23787,233080,11277,12.26,432.51,43209.77,1050.76,4877430.66
swarm,read_write,10000,371462,105749,53259,530470,26440,43.24,145.48,1370.79,183.21,3846430.53
swarm,read_write,100000,370454,105804,52938,529196,26449,35.87,145.42,870.48,200.47,3846142.52
swarm,read_write,1000000,521710,55372,168218,745300,37265,13.12,103.18,777.73,142.39,3845044.78
swarm,read_only,100,817725,0,0,817725,817725,0.31,4.70,695.80,7.43,3839495.91
swarm,read_only,1000,833953,0,0,833953,833953,0.36,4.60,817.74,7.17,3839741.86
swarm,read_only,10000,818040,0,0,818040,818040,0.35,4.69,571.32,7.30,3840164.57
swarm,read_only,100000,784009,0,0,784009,784009,0.34,4.90,753.89,7.56,3839706.33
swarm,read_only,1000000,834440,0,0,834440,834440,0.42,4.60,881.68,7.17,3839967.75
