environment,connections,requests,replies,test_duration_s,reply_time_ms,conn_time_min_ms,conn_time_avg_ms,conn_time_max_ms,conn_time_median_ms,conn_time_stddev_ms,reply_status_200_count,reply_status_500_count,errors_total
kubernetes,10,10,10,4.470,2450.9,919.7,2583.8,3868.1,2340.5,1024.2,10,0,0
kubernetes,20,20,20,8.579,4618.5,1060.5,4733.6,7676.8,4485.5,2063.3,20,0,0
kubernetes,50,50,50,23.552,12022.2,799.6,12129.2,22571.1,12401.5,6725.6,49,1,0
kubernetes,100,100,100,44.229,22717.2,674.3,22822.5,43448.7,22764.5,12420.4,98,2,0
kubernetes,150,150,150,66.532,33638.1,1664.2,34094.1,65563.7,34658.5,18758.7,148,2,0
kubernetes,200,200,200,89.570,42326.0,788.1,44802.1,88795.2,45551.5,25621.6,197,3,0
kubernetes,250,250,250,117.519,50250.0,2947.4,60206.9,116782.1,60298.5,33681.2,250,0,0
kubernetes,300,300,258,117.294,52568.3,1457.4,59430.8,116453.0,59401.5,33610.6,253,5,42
kubernetes,350,350,292,128.547,53235.3,1146.3,65654.9,127700.8,64964.5,36809.0,289,3,58
kubernetes,400,400,303,132.350,55993.3,861.9,65668.9,131609.6,64836.5,37576.6,298,5,97
kubernetes,450,450,343,157.630,60026.1,1350.4,79686.7,156702.7,79762.5,45151.9,336,7,107
kubernetes,500,500,326,147.728,56619.9,984.3,75018.0,146763.3,76060.5,41738.1,321,5,174
kubernetes,600,600,400,183.318,63623.8,2451.5,92107.4,182051.8,90501.5,52725.2,393,7,200
kubernetes,700,700,399,180.212,68492.2,1203.1,92018.6,178555.8,92430.5,51793.6,390,9,301
kubernetes,800,800,293,134.117,57858.8,1094.0,67102.3,133249.8,66339.5,38385.0,283,10,507
kubernetes,900,900,411,242.712,76445.9,1999.5,95764.6,189217.3,96187.5,54636.6,402,9,489
kubernetes,1000,744,323,150.738,62750.5,1738.0,76948.3,150364.2,75810.5,42651.4,310,13,677
native,10,10,10,5.475,3436.7,1984.9,3555.2,4974.1,4130.5,1185.0,10,0,0
native,20,20,20,8.338,4370.2,984.3,4478.5,7686.5,4816.5,2064.8,20,0,0
native,50,50,50,19.798,9900.1,789.1,10037.3,18817.0,9099.5,5216.9,43,7,0
native,100,100,100,37.267,18873.5,638.7,18993.1,36276.1,20056.5,10465.7,93,7,0
native,150,150,150,54.370,27107.9,1057.2,27269.6,53402.5,26990.5,15486.0,144,6,0
native,200,200,200,73.732,35075.8,871.0,37009.4,72934.9,36315.5,20738.7,189,11,0
native,250,250,250,92.366,42076.0,2648.8,46773.2,91390.2,46051.5,25999.0,230,20,0
native,300,300,270,98.074,44592.9,1041.1,49624.7,97167.1,49787.5,27930.0,245,25,30
native,350,350,315,115.569,47447.6,1039.8,57671.2,114897.8,56614.5,33178.0,277,38,35
native,400,400,355,129.678,47244.4,1098.4,65711.5,128757.6,66499.5,37099.3,312,43,45
native,450,450,376,139.878,56895.7,1179.1,70326.4,138704.7,70792.5,40063.9,357,19,74
native,500,500,442,163.440,55747.0,2105.2,82554.6,162621.3,82571.5,46747.7,405,37,58
native,600,600,336,127.359,57146.1,1641.9,63417.5,124996.9,64781.5,35815.7,299,37,264
native,700,700,396,147.692,54086.7,995.2,73808.7,146743.5,72822.5,42111.4,357,39,304
native,800,800,391,144.139,53852.2,862.7,72841.4,143203.6,72994.5,41141.4,359,32,409
native,900,900,343,126.008,52884.3,1314.9,63552.5,125102.8,63207.5,36178.7,316,27,557
native,1000,1000,520,192.838,70511.0,828.7,96546.3,192684.8,95296.5,55484.6,468,52,480
swarm,10,10,10,4.224,2263.5,1171.0,2355.1,3423.0,2529.5,800.2,10,0,0
swarm,20,20,20,10.577,5337.1,706.1,5508.4,9674.8,5620.5,2752.6,20,0,0
swarm,50,50,50,23.039,12016.8,629.4,12155.8,22058.8,11368.5,6346.4,50,0,0
swarm,100,100,100,45.393,22668.6,703.6,22797.6,44412.0,21999.5,13247.7,100,0,0
swarm,150,150,150,71.934,35678.4,749.9,36377.0,70940.7,35992.5,20265.1,150,0,0
swarm,200,200,200,92.161,43134.9,804.5,45429.3,91425.4,45696.5,26997.4,200,0,0
swarm,250,250,250,111.606,49937.5,1486.8,56018.7,110708.8,55786.5,32099.9,250,0,0
swarm,300,300,267,128.694,53888.8,1249.7,64003.5,127962.5,64276.5,37398.1,267,0,33
swarm,350,350,283,130.895,55694.9,2016.0,64581.7,130331.0,63530.5,37430.5,283,0,67
swarm,400,400,281,130.053,56737.4,894.2,66145.1,129517.8,66192.5,36979.3,281,0,119
swarm,450,450,372,175.563,63197.5,1155.2,89137.4,174847.7,88637.5,50009.2,372,0,78
swarm,500,500,379,173.631,60979.7,722.5,87216.4,172830.1,87933.5,49700.2,379,0,121
swarm,600,600,329,155.413,58366.7,1010.7,76933.8,154426.1,75701.5,43972.1,329,0,271
swarm,700,620,424,193.230,69322.7,1324.6,97702.3,192416.5,0.0,54536.9,424,0,276
swarm,800,800,340,156.547,63182.8,1231.8,80668.8,155568.5,80869.5,44231.3,340,0,460
swarm,900,843,403,236.963,86671.4,1233.7,98183.7,193632.7,98913.5,55465.1,403,0,497
swarm,1000,681,323,151.963,64832.5,1495.9,77274.6,151595.2,77099.5,43856.5,323,0,677
